base_feature,importance
membership_category,0.38968644
dissatisfied_feedback_flag,0.20076276
feedback,0.17604955
points_in_wallet,0.053915363
points_missing_flag,0.019136492
visit_time_segment,0.011414717
customer_tenure_bucket,0.011344932
complaint_status,0.00933972
engagement_segment,0.009061899
medium_of_operation,0.009046986
avg_transaction_value,0.009003293
region_category,0.00899538
preferred_offer_types,0.008638893
joined_through_referral,0.0069128876
internet_option,0.0065337312
spend_segment,0.0065147737
gender,0.0063939136
past_complaint,0.005111644
offer_application_preference,0.004323886
used_special_discount,0.0043169176
points_per_transaction,0.0035720493
high_value_customer_flag,0.0025723602
wallet_to_spend_ratio,0.0025572472
value_per_login,0.0025492613
avg_frequency_login_days,0.0025006311
engagement_intensity,0.0023804924
membership_days,0.0023761638
unresolved_complaint_flag,0.0023499671
has_referral,0.0023406355
age,0.0023274801
avg_time_spent,0.002293515
visit_hour,0.002290186
complaint_flag,0.0022885597
days_since_last_login,0.002271286
joining_month,0.0022602382
low_activity_flag,0.002203674
joining_weekday,0.0021942325
joining_year,0.0021679022
